defect_rate,reject_probability,accept_probability
0.164,0.026896000000000003,0.01943292182811619
0.165,0.027225000000000003,0.018927901212336326
0.166,0.027556000000000004,0.0184354233016137
0.167,0.027889000000000004,0.01795519106677211
0.168,0.028224000000000003,0.017486914168946693
0.169,0.028561000000000003,0.0170303088166521
0.17,0.028900000000000006,0.016585097625738166
0.171,0.029241000000000003,0.01615100948217791
0.17200000000000001,0.029584000000000006,0.015727779407634025
0.17300000000000001,0.029929000000000004,0.01531514842775077
0.17400000000000002,0.030276000000000004,0.014912863443119246
0.17500000000000002,0.030625000000000006,0.014520677102864874
0.176,0.030975999999999997,0.014138347680806938
0.177,0.031328999999999996,0.013765638954140591
0.178,0.031684,0.013402320084593782
0.179,0.032041,0.013048165502009858
0.18,0.0324,0.012702954790311442
0.181,0.032761,0.012366472575797233
0.182,0.033124,0.012038508417729193
0.183,0.033489,0.011718856701163493
0.184,0.033856,0.01140731653198418
0.185,0.034225,0.011103691634094618
0.186,0.034596,0.01080779024872715
0.187,0.034969,0.01051942503582767
0.188,0.035344,0.01023841297747693
0.189,0.035721,0.009964575283306885
0.19,0.0361,0.00969773729787525
0.191,0.036481,0.00943772840995811
0.192,0.036864,0.00918438196372505
0.193,0.037249000000000004,0.00893753517175815
0.194,0.037636,0.008697029029880572
0.195,0.038025,0.008462708233757511
0.196,0.038416000000000006,0.008234421097236454
0.197,0.038809,0.008012019472390908
0.198,0.039204,0.007795358671235748
0.199,0.039601000000000004,0.007584297389079638
0.2,0.04000000000000001,0.00737869762948383
0.201,0.040401000000000006,0.007178424630794111
0.202,0.04080400000000001,0.0069833467942162775
0.203,0.041209,0.0067933356134031566
0.20400000000000001,0.04161600000000001,0.006608265605524624
0.20500000000000002,0.04202500000000001,0.006428014243789842
0.20600000000000002,0.04243600000000001,0.00625246189139419
0.20700000000000002,0.042849000000000005,0.006081491736861275
0.20800000000000002,0.04326400000000001,0.005914989730753483
0.209,0.043681,0.0057528445237226
0.21,0.04409999999999999,0.005594947405874814
0.211,0.044521,0.00544119224742304
0.212,0.044944,0.005291475440601225
0.213,0.045369,0.0051456958428152235
0.214,0.045795999999999996,0.005003754721005428
0.215,0.046224999999999995,0.004865555697196846
0.216,0.046655999999999996,0.004731004695212714
0.217,0.047089,0.00460000988852824
0.218,0.047524,0.00447248164924147
0.219,0.047961,0.004348332498138732
0.22,0.0484,0.0042274770558325386
0.221,0.048841,0.00410983199495022
0.222,0.049284,0.003995315993352029
0.223,0.049729,0.0038838496883577957
0.224,0.050176000000000005,0.0037753556319616586
0.225,0.050625,0.003669758247014775
0.226,0.051076,0.0035669837843562827
0.227,0.051529000000000005,0.003466960280873185
0.228,0.051984,0.003369617518470182
0.229,0.052441,0.0032748869839308507
0.23,0.0529,0.003182701829651922
0.231,0.053361000000000006,0.003092996835232752
0.232,0.053824000000000004,0.0030057083699024487
0.233,0.054289000000000004,0.0029207743557674213
0.234,0.054756000000000006,0.002838134231862487
0.23500000000000001,0.05522500000000001,0.0027577289189889653
0.23600000000000002,0.05569600000000001,0.00267950078532353
0.23700000000000002,0.05616900000000001,0.0026033936127818963
0.23800000000000002,0.05664400000000001,0.002529352564121728
0.23900000000000002,0.05712100000000001,0.0024573241507694584
0.24,0.0576,0.002387256201356007
0.241,0.058080999999999994,0.002319097830946678
0.242,0.058564,0.002252799410950802
0.243,0.059049,0.002188312539696974
0.244,0.059536,0.0021255900136600107
0.245,0.060024999999999995,0.002064585799326022
0.246,0.060516,0.002005255005682263
0.247,0.061009,0.0019475538573186905
0.248,0.061503999999999996,0.0018914396681284043
0.249,0.062001,0.001836870815594408
0.25,0.0625,0.0017838067156503712
0.251,0.063001,0.0017322077981033164
0.252,0.063504,0.0016820354826063949
0.253,0.064009,0.0016332521551701458
0.254,0.064516,0.0015858211452008692
0.255,0.065025,0.0015397067030549596
0.256,0.065536,0.0014948739780982806
0.257,0.066049,0.0014512889972598637
0.258,0.066564,0.0014089186440694402
0.259,0.067081,0.0013677306381685197
0.26,0.06760000000000001,0.001327693515284928
0.261,0.068121,0.0012887766076609315
0.262,0.06864400000000001,0.00125095002492526
0.263,0.06916900000000001,0.0012141846353995436
0.264,0.06969600000000001,0.0011784520478298616
0.265,0.07022500000000001,0.0011437245935342973
0.266,0.07075600000000001,0.001109975308957566
0.267,0.071289,0.0010771779186239706
0.268,0.07182400000000001,0.0010453068184801153
0.269,0.07236100000000001,0.0010143370596189724
0.27,0.0729,0.000984244332377084
0.271,0.073441,0.0009550049507968247
0.272,0.07398400000000001,0.0009265958374458391
0.273,0.07452900000000001,0.0008989945085859064
0.274,0.07507600000000002,0.0008721790596836575
0.275,0.07562500000000001,0.0008461281512557162
0.276,0.07617600000000001,0.000820820995040991
0.277,0.07672900000000002,0.0007962373404929899
0.278,0.07728400000000002,0.0007723574615851795
0.279,0.07784100000000002,0.0007491621439225492
0.28,0.07840000000000001,0.000726632672152685
0.281,0.07896100000000002,0.0007047508176697925
0.28200000000000003,0.07952400000000001,0.0006834988266052433
0.28300000000000003,0.08008900000000002,0.0006628594080983536
0.28400000000000003,0.08065600000000002,0.0006428157228412319
0.28500000000000003,0.08122500000000002,0.0006233513718916594
0.28600000000000003,0.08179600000000002,0.0006044503857480927
0.28700000000000003,0.08236900000000003,0.0005860972136810017
0.28800000000000003,0.08294400000000002,0.0005682767133148711
0.289,0.08352099999999998,0.0005509741404553204
0.29,0.0841,0.0005341751391558909
0.291,0.08468099999999999,0.0005178657320192206
0.292,0.08526399999999999,0.0005020323107273155
0.293,0.085849,0.0004866616267959232
0.294,0.08643599999999999,0.00047174078254789444
0.295,0.08702499999999999,0.00045725722230075867
0.296,0.08761599999999999,0.0004431987237636123
0.297,0.088209,0.00042955338963873957
0.298,0.088804,0.00041630963942327167
0.299,0.089401,0.0004034562014064931
0.3,0.09,0.00039098210485829826
